,titles,years,ratings,actors_list
107,Taxi Driver,(1976),8.239371977486966,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster"
108,To Kill a Mockingbird,(1962),8.236051164468396,"Robert Mulligan (dir.), Gregory Peck, John Megna"
109,The Sting,(1973),8.234511972241538,"George Roy Hill (dir.), Paul Newman, Robert Redford"
110,Up,(2009),8.234411393681157,"Pete Docter (dir.), Edward Asner, Jordan Nagai"
111,L.A. Confidential,(1997),8.23409342071465,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe"
112,Hamilton,(2020),8.233792862789242,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo"
113,Heat,(1995),8.232015782040314,"Michael Mann (dir.), Al Pacino, Robert De Niro"
114,Ikiru,(1952),8.23070566928658,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko"
115,Snatch,(2000),8.230306637852967,"Guy Ritchie (dir.), Jason Statham, Brad Pitt"
116,Die Hard,(1988),8.229922409959988,"John McTiernan (dir.), Bruce Willis, Alan Rickman"
117,Indiana Jones and the Last Crusade,(1989),8.228175430180796,"Steven Spielberg (dir.), Harrison Ford, Sean Connery"
118,Jodaeiye Nader az Simin,(2011),8.227836691171952,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami"
119,Metropolis,(1927),8.226625557218782,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel"
120,Ladri di biciclette,(1948),8.223031082339004,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola"
121,Incendies,(2010),8.222824600864937,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin"
122,1917,(2019),8.21999127894979,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay"
123,Taare Zameen Par,(2007),8.219123763166637,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan"
124,Batman Begins,(2005),8.217259127515605,"Christopher Nolan (dir.), Christian Bale, Michael Caine"
125,Per qualche dollaro in più,(1965),8.212321770453801,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef"
126,Dangal,(2016),8.211631101306216,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar"
